company_id,company_name,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,0,High-Quality Compounders,0.34845381310402657
ADANIENSOL,Adani Energy Solutions Ltd,0,High-Quality Compounders,0.9994496473556874
ADANIENT,Adani Enterprises Ltd,0,High-Quality Compounders,0.8234908225758084
ADANIGREEN,Adani Green Energy Ltd,2,Value Cyclicals,1.2646493572329538
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",3,Emerging Growth,0.9556649617487797
ADANIPOWER,Adani Power Ltd,0,High-Quality Compounders,0.7694418038420998
AMBUJACEM,Ambuja Cements Ltd,0,High-Quality Compounders,0.47374274181812787
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",0,High-Quality Compounders,0.4074618456750606
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",0,High-Quality Compounders,0.20887190990177748
ATGL,Adani Total Gas Ltd,0,High-Quality Compounders,0.3338476291371331
AXISBANK,Axis Bank Ltd,2,Value Cyclicals,1.0404979211934169
BAJAJ-AUTO,Bajaj Auto Ltd,0,High-Quality Compounders,0.18782592569272533
BAJAJFINSV,Bajaj Finserv Ltd,4,Distressed / Turnaround,0.9172013975975726
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,3,Emerging Growth,0.665106943544581
BAJFINANCE,Bajaj Finance Ltd,4,Distressed / Turnaround,1.1636431708172406
BANKBARODA,Bank of Baroda,2,Value Cyclicals,1.5527655785615788
BEL,Bharat Electronics Ltd,1,Defensive Dividend Payers,1.0470707544296576
BHARTIARTL,Bharti Airtel Ltd,0,High-Quality Compounders,1.663091554856282
BHEL,"Bharat Heavy Electricals Limited
",0,High-Quality Compounders,0.7708682588154104
BOSCHLTD,Bosch Ltd,0,High-Quality Compounders,0.4252343128938721
BPCL,Bharat Petroleum Corporation Ltd,0,High-Quality Compounders,0.9197316828877712
BRITANNIA,Britannia Industries Ltd,0,High-Quality Compounders,0.17998062024965306
CANBK,Canara Bank,2,Value Cyclicals,2.415681738039384
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,4,Distressed / Turnaround,1.2003637598344854
CIPLA,"Cipla Ltd
",3,Emerging Growth,0.4369446440690761
COALINDIA,Coal India Ltd,3,Emerging Growth,0.7313365832772621
DABUR,Dabur India Ltd,0,High-Quality Compounders,0.28881078153433726
DIVISLAB,Divis Laboratories Ltd,0,High-Quality Compounders,0.42478237900709226
DLF,DLF Ltd,0,High-Quality Compounders,0.5492457342719974
DMART,Avenue Supermarts Ltd,0,High-Quality Compounders,0.5761780604171516
