ticker,company,reason
ABB,Abbott India Ltd,Cannot operate on a closed database.
ADANIENSOL,Adani Energy Solutions Ltd,Cannot operate on a closed database.
ADANIENT,Adani Enterprises Ltd,Cannot operate on a closed database.
ADANIGREEN,Adani Green Energy Ltd,Cannot operate on a closed database.
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Cannot operate on a closed database.
ADANIPOWER,Adani Power Ltd,Cannot operate on a closed database.
ATGL,Adani Total Gas Ltd,Cannot operate on a closed database.
AMBUJACEM,Ambuja Cements Ltd,Cannot operate on a closed database.
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Cannot operate on a closed database.
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Cannot operate on a closed database.
DMART,Avenue Supermarts Ltd,Cannot operate on a closed database.
AXISBANK,Axis Bank Ltd,Cannot operate on a closed database.
BAJAJ-AUTO,Bajaj Auto Ltd,Cannot operate on a closed database.
BAJFINANCE,Bajaj Finance Ltd,Cannot operate on a closed database.
BAJAJFINSV,Bajaj Finserv Ltd,Cannot operate on a closed database.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Cannot operate on a closed database.
BANKBARODA,Bank of Baroda,Cannot operate on a closed database.
BEL,Bharat Electronics Ltd,Cannot operate on a closed database.
BHEL,"Bharat Heavy Electricals Limited
",Cannot operate on a closed database.
BPCL,Bharat Petroleum Corporation Ltd,Cannot operate on a closed database.
BHARTIARTL,Bharti Airtel Ltd,Cannot operate on a closed database.
BOSCHLTD,Bosch Ltd,Cannot operate on a closed database.
BRITANNIA,Britannia Industries Ltd,Cannot operate on a closed database.
CANBK,Canara Bank,Cannot operate on a closed database.
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Cannot operate on a closed database.
CIPLA,"Cipla Ltd
",Cannot operate on a closed database.
COALINDIA,Coal India Ltd,Cannot operate on a closed database.
DLF,DLF Ltd,Cannot operate on a closed database.
DABUR,Dabur India Ltd,Cannot operate on a closed database.
DIVISLAB,Divis Laboratories Ltd,Cannot operate on a closed database.
DRREDDY,Dr Reddys Laboratories Ltd,Cannot operate on a closed database.
EICHERMOT,Eicher Motors Ltd,Cannot operate on a closed database.
GAIL,GAIL (India) Ltd,Cannot operate on a closed database.
GODREJCP,Godrej Consumer Products Ltd,Cannot operate on a closed database.
GRASIM,Grasim Industries Ltd,Cannot operate on a closed database.
HCLTECH,HCL Technologies Ltd,Cannot operate on a closed database.
HDFCBANK,HDFC Bank Ltd,Cannot operate on a closed database.
HDFCLIFE,HDFC Life Insurance Company Ltd,Cannot operate on a closed database.
HAVELLS,Havells India Ltd,Cannot operate on a closed database.
HEROMOTOCO,"Hero MotoCorp Ltd
",Cannot operate on a closed database.
HINDALCO,Hindalco Industries Ltd,Cannot operate on a closed database.
HAL,Hindustan Aeronautics Ltd,Cannot operate on a closed database.
HINDUNILVR,"Hindustan Unilever Ltd
",Cannot operate on a closed database.
ICICIBANK,ICICI Bank Ltd,Cannot operate on a closed database.
ICICIGI,ICICI Lombard General Insurance Company Ltd,Cannot operate on a closed database.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Cannot operate on a closed database.
